Message Name,Field Def #,Field Name,Field Type,Array,,,,,,,,,,Products:,EXAMPLE
,4,speed_source,bool,,,,,,,,,,,,1
,5,sdm_ant_id_trans_type,uint8z,,,,,,,,,,,,1
,7,odometer_rollover,uint8,,,,,,,,,,,,1

bike_profile,,,,,,,,,,,,,,,
,254,message_index,message_index,,,,,,,,,,,,1
,0,name,string,,,,,,,,,,,,16
,1,sport,sport,,,,,,,,,,,,1
,2,sub_sport,sub_sport,,,,,,,,,,,,1
,3,odometer,uint32,,,,,,,,,,,,1
,4,bike_spd_ant_id,uint16z,,,,,,,,,,,,1
,5,bike_cad_ant_id,uint16z,,,,,,,,,,,,1
,6,bike_spdcad_ant_id,uint16z,,,,,,,,,,,,1
,7,bike_power_ant_id,uint16z,,,,,,,,,,,,1
,8,custom_wheelsize,uint16,,,,,,,,,,,,1
,9,auto_wheelsize,uint16,,,,,,,,,,,,1
,10,bike_weight,uint16,,,,,,,,,,,,1
,11,power_cal_factor,uint16,,,,,,,,,,,,1
,12,auto_wheel_cal,bool,,,,,,,,,,,,1
,13,auto_power_zero,bool,,,,,,,,,,,,1
,14,id,uint8,,,,,,,,,,,,1
,15,spd_enabled,bool,,,,,,,,,,,,1
,16,cad_enabled,bool,,,,,,,,,,,,1
,17,spdcad_enabled,bool,,,,,,,,,,,,1
,18,power_enabled,bool,,,,,,,,,,,,1
,19,crank_length,uint8,,,,,,,,,,,,1
,20,enabled,bool,,,,,,,,,,,,1
,21,bike_spd_ant_id_trans_type,uint8z,,,,,,,,,,,,1
,22,bike_cad_ant_id_trans_type,uint8z,,,,,,,,,,,,1
,23,bike_spdcad_ant_id_trans_type,uint8z,,,,,,,,,,,,1
,24,bike_power_ant_id_trans_type,uint8z,,,,,,,,,,,,1
,37,odometer_rollover,uint8,,,,,,,,,,,,1
,38,front_gear_num,uint8z,,,,,,,,,,,,1
,39,front_gear,uint8z,[N],,,,,,,,,,,1
,40,rear_gear_num,uint8z,,,,,,,,,,,,1
,41,rear_gear,uint8z,[N],,,,,,,,,,,1
,44,shimano_di2_enabled,bool,,,,,,,,,,,,1

connectivity,,,,,,,,,,,,,,,
,0,bluetooth_enabled,bool,,,,,,,,,,,,1
,1,bluetooth_le_enabled,bool,,,,,,,,,,,,1
,2,ant_enabled,bool,,,,,,,,,,,,1
,3,name,string,,,,,,,,,,,,24
,4,live_tracking_enabled,bool,,,,,,,,,,,,1
,5,weather_conditions_enabled,bool,,,,,,,,,,,,1
,6,weather_alerts_enabled,bool,,,,,,,,,,,,1
,7,auto_activity_upload_enabled,bool,,,,,,,,,,,,1
,8,course_download_enabled,bool,,,,,,,,,,,,1
,9,workout_download_enabled,bool,,,,,,,,,,,,1
,10,gps_ephemeris_download_enabled,bool,,,,,,,,,,,,1
,11,incident_detection_enabled,bool,,,,,,,,,,,,1
,12,grouptrack_enabled,bool,,,,,,,,,,,,1
watchface_settings,,,,,,,,,,,,,,,
,254,message_index,message_index,,,,,,,,,,,,
,0,mode,watchface_mode,,,,,,,,,,,,
,1,layout,byte,,,,,,,,,,,,
,,digital_layout,digital_watchface_layout,,,,,,,,,,,,
,,analog_layout,analog_watchface_layout,,,,,,,,,,,,
ohr_settings,,,,,,,,,,,,,,,
,0,enabled,switch,,,,,,,,,,,,
,,,SPORT SETTINGS FILE MESSAGES,,,,,,,,,,,,
zones_target,,,,,,,,,,,,,,,
,1,max_heart_rate,uint8,,,,,,,,,,,,1
,2,threshold_heart_rate,uint8,,,,,,,,,,,,1
,3,functional_threshold_power,uint16,,,,,,,,,,,,1
,5,hr_calc_type,hr_zone_calc,,,,,,,,,,,,1
,7,pwr_calc_type,pwr_zone_calc,,,,,,,,,,,,1

sport,,,,,,,,,,,,,,,
,0,sport,sport,,,,,,,,,,,,1
,1,sub_sport,sub_sport,,,,,,,,,,,,1
,3,name,string,,,,,,,,,,,,16

hr_zone,,,,,,,,,,,,,,,
,254,message_index,message_index,,,,,,,,,,,,1
,1,high_bpm,uint8,,,,,,,,,,,,1
,2,name,string,,,,,,,,,,,,16

speed_zone,,,,,,,,,,,,,,,
,254,message_index,message_index,,,,,,,,,,,,1
,0,high_value,uint16,,,,,,,,,,,,1
,1,name,string,,,,,,,,,,,,16

cadence_zone,,,,,,,,,,,,,,,
,254,message_index,message_index,,,,,,,,,,,,1
,0,high_value,uint8,,,,,,,,,,,,1
,1,name,string,,,,,,,,,,,,16

power_zone,,,,,,,,,,,,,,,
,254,message_index,message_index,,,,,,,,,,,,1
,1,high_value,uint16,,,,,,,,,,,,1
,2,name,string,,,,,,,,,,,,16

met_zone,,,,,,,,,,,,,,,
,254,message_index,message_index,,,,,,,,,,,,1
,1,high_bpm,uint8,,,,,,,,,,,,1
,2,calories,uint16,,,,,,,,,,,,1
,3,fat_calories,uint8,,,,,,,,,,,,1

,,,GOALS FILE MESSAGES,,,,,,,,,,,,
goal,,,,,,,,,,,,,,,
,254,message_index,message_index,,,,,,,,,,,,1
,0,sport,sport,,,,,,,,,,,,1
